companyName,contractType,experienceLevel,location,salary,sector,job_title,extracted_skills,day,month,year
Via,Full-time,Entry level,Paris,41500.0,Software Development,Data Analyst,,6,10,2024
Leihia,Full-time,Mid-Senior level,Chennevières,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO', 'Excel']",24,9,2024
Technology & Strategy,Full-time,Associate,Lyon,41500.0,IT Services and IT Consulting,Data Analyst,"['Power BI', 'SQL', 'Python']",10,10,2024
Technology & Strategy,Full-time,Associate,Lyon,41500.0,IT Services and IT Consulting,Data Analyst,"['Qlik', 'QlikView', 'Qlik Sense', 'Python']",19,9,2024
Guerlain,Full-time,Internship,Paris,41500.0,Personal Care Product Manufacturing,Data Analyst,"['Google Cloud', 'ML']",24,9,2024
TieTalent,Full-time,Entry level,Clichy,41500.0,"Technology, Information and Internet",Data Analyst,,4,10,2024
L'Usine Nouvelle,Full-time,Entry level,Aix-en-Provence,41500.0,Newspaper Publishing,Data Analyst,"['Dynamics 365', 'Power BI', 'SSRS', 'SSIS', 'SSAS']",20,9,2024
bsport,Full-time,Entry level,Paris,41500.0,Wellness and Fitness Services,Data Analyst,,4,10,2024
Bpifrance,Full-time,Not Applicable,Maisons-Alfort,41500.0,Banking,Data Analyst,"['SQL', 'Business Objects', 'Qlik Sense', 'Dataku']",11,10,2024
Cdiscount,Full-time,Entry level,Bordeaux,41500.0,Software Development,Data Analyst,,12,10,2024
GreenYellow,Full-time,Entry level,Défense,41500.0,Renewable Energy Power Generation,Data Analyst,,8,10,2024
FRG Technology Consulting,Full-time,Entry level,Marseille,41500.0,Staffing and Recruiting,Data Analyst,"['Python', 'Java', 'VBA', 'SQL', 'RDBMS', 'NoSQL', 'OLAP']",26,9,2024
Listen too,Full-time,Associate,Nantes,41500.0,Business Consulting and Services,Data Analyst,"['Python', 'SQL', 'Excel']",19,9,2024
TieTalent,Full-time,Entry level,Tassin-la-Demi-Lune,41500.0,"Technology, Information and Internet",Data Analyst,"['Dataviz', 'PowerBi']",9,10,2024
Institut F2I,Internship,Internship,Neuilly-sur-Seine,41500.0,"IT System Training and Support, Professional Training and Coaching, and Education",Data Analyst,"['SQL', 'Tableau', 'Power BI', 'Python', 'R']",27,9,2024
BALENCIAGA,Full-time,Internship,Paris,41500.0,Retail Apparel and Fashion,Data Analyst,,30,9,2024
ACT-ON DATA,Full-time,Entry level,Courbevoie,41500.0,Business Consulting and Services,Data Analyst,,6,9,2024
